"Ignore","Company","Paddle","Price","Face Material","Grip length","Core Material","Core thickness in mm","Grip thickness","Shape","RPM","Weight","Swing weight","Twist weight","YouTube Review","Link to purchase","Discount code","CODES","Notes","Discount","Paddle Tier"
"1","Adidas","Drive 2","69.99","Fiberglass","4.75","Polymer Honeycomb","14","4.125","Standard","1790","7.8-8.2oz","105","7.11","","https://bit.ly/3HlC8lX","","","","","Cheap"
"2","Adidas","Match Light 2","69.99","Fiberglass","4.75","Polymer Honeycomb","14","4.125","Standard","1790","7.5-7.8oz","96","6.68","","https://bit.ly/3HlC8lX","","","","","Cheap"
"3","Adidas","AdiPower Attk 2","199.99","Carbon Fiber","5","Polymer Honeycomb","14","4.125","Elongated","1038","7.8-8.2oz","116","6","","https://bit.ly/3r5JGnX","","","","","High-end"
"4","Adidas","AdiPower CTRL","199.99","Carbon Fiber","5","Polymer Honeycomb","14","4.125","Standard","1058","7.8-8.2oz","111","6.82","","https://bit.ly/3sHB2fU","","","","","High-end"
"5","Adidas","Adipower Carbon Team","159.99","Carbon Fiber","5.5","Polymer Honeycomb","16","4.5","Elongated","1624","7.8-8.2oz","116","5.72","","https://bit.ly/45TIhQo","","","","","High-end"
"6","Pickleball Apes","Pro Line Energy","149.99","Kevlar","6.25","Polymer Honeycomb","16.5","4.25","Elongated","1743","8.2-8.4oz","120","5.66","","https://bit.ly/453IaSh","PBSTUDIO to save 10%","PBSTUDIO","","10%","High-end"
"7","Pickleball Apes","Neo Line One","69.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.5","Elongated","1366","8.0-8.2oz","117","6.04","","https://bit.ly/44OIFiS","PBSTUDIO to save 10%","","","","Cheap"
"8","Ballr","Ballr Pro","99.99","Raw carbon fiber","6","Polymer Honeycomb","16","4.5","Elongated","","8.0oz","126","6.18","","https://bit.ly/3EwbbKq","","","","","Midrange"
"9","Body Helix","X1","160","Raw carbon fiber","5.25","Polymer Honeycomb","16","4.25","Elongated","","8.2oz","122","6.85","","https://bit.ly/3PxrDkc","","","","","High-end"
"10","Bison","The Summit","99.99","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.25","Elongated","1859","7.8oz","117","5.61","","https://bit.ly/41yofJc","","","","","Midrange"
"11","Bison","The Rampage","99.99","Raw carbon fiber","4.75","Polymer Honeycomb","16","4.375","Standard","1843","7.8oz","109","7.02","","https://bit.ly/40x7ZXC","","","","","Midrange"
"12","Bread & Butter","Spear","80","Carbon Fiber","5","Polymer Honeycomb","13","4.25","Standard","1075","7.6oz","104","6.31","","https://bit.ly/40BsnXN","PBSTUDIO 10% OFF","PBSTUDIO","","15%","Midrange"
"13","Bread & Butter","Drip","80","Carbon Fiber","5","Polymer Honeycomb","16","4.25","Elongated","1100","8.0oz","120","6.52","","https://bit.ly/3mT68Pf","PBSTUDIO 10% OFF","","","","Midrange"
"14","Bread & Butter","Filth","165","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","1850","8oz","125","6.17","https://www.youtube.com/watch?v=FWzHyWSRzYE&ab_channel=PickleballStudio","https://bit.ly/3NzLoXm","PBSTUDIO 10% OFF","","","","High-end"
"15","CRBN","CRBN1 16mm","179.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","1650","7.8-8.1oz","122","6.02","","https://bit.ly/3QvMRQ6","PBSTUDIO 10% OFF","","","","High-end"
"16","CRBN","CRBN1 14mm","179.99","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.25","Elongated","","7.8-8.1oz","120","5.67","","https://bit.ly/3QsRKtb","PBSTUDIO 10% OFF","","","","High-end"
"17","CRBN","CRBN1 13mm","179.99","Raw carbon fiber","5.5","Polymer Honeycomb","13","4.25","Elongated","","7.8-8.1oz","118","5.46","","https://bit.ly/45e5xYO","PBSTUDIO 10% OFF","","","","High-end"
"18","CRBN","CRBN2 16mm","179.99","Raw carbon fiber","4.75","Polymer Honeycomb","16","4.25","Standard","1680","7.8-8.1oz","108","7.1","","https://bit.ly/3qiH99x","PBSTUDIO 10% OFF","","","","High-end"
"19","CRBN","CRBN2 14mm","179.99","Raw carbon fiber","4.75","Polymer Honeycomb","14","4.25","Standard","","7.8-8.1oz","108","6.77","","https://bit.ly/3QmrLDQ","PBSTUDIO 10% OFF","","","","High-end"
"20","CRBN","CRBN2 13mm","179.99","Raw carbon fiber","4.75","Polymer Honeycomb","13","4.25","Standard","","7.8-8.1oz","102","6.45","","https://bit.ly/3QwkRvJ","PBSTUDIO 10% OFF","","","","High-end"
"21","CRBN","CRBN1X 16mm","229.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","1720","7.8-8.10z","123","6.45","https://www.youtube.com/watch?v=PFoHhLyM4Cg&list=PLd8WdtbnlZd4HAyVxwWGC9CxlK2Kmruyc&index=28","https://bit.ly/3X1RSzR","PBSTUDIO 10% OFF","","","","High-end"
"22","CRBN","CRBN1X 14mm","229.99","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.25","Elongated","1786","7.8-8.1oz","117","5.9","https://www.youtube.com/watch?v=PFoHhLyM4Cg&list=PLd8WdtbnlZd4HAyVxwWGC9CxlK2Kmruyc&index=28","https://bit.ly/3Qfhpn3","PBSTUDIO 10% OFF","PBSTUDIO","","10%","High-end"
"23","CRBN","CRBN2X 16mm","229.99","Raw carbon fiber","4.75","Polymer Honeycomb","16","4.125","Standard","1847","7.8-8.1oz","109","7.57","https://www.youtube.com/watch?v=PFoHhLyM4Cg&list=PLd8WdtbnlZd4HAyVxwWGC9CxlK2Kmruyc&index=28","https://bit.ly/3QbTUv0","PBSTUDIO 10% OFF","","","","High-end"
"24","CRBN","CRBN2X 14mm","229.99","Raw carbon fiber","4.75","Polymer Honeycomb","14","4.125","Standard","1843","7.8-8.1oz","103","6.85","https://www.youtube.com/watch?v=PFoHhLyM4Cg&list=PLd8WdtbnlZd4HAyVxwWGC9CxlK2Kmruyc&index=28","https://bit.ly/3X0Ovcz","PBSTUDIO 10% OFF","","","","High-end"
"25","CRBN","CRBN3X 16mm","229.99","Raw carbon fiber","5.25","Polymer Honeycomb","16","4.25","Elongated","","7.8-8.1oz","118","6.52","","https://bit.ly/3OrVh8m","PBSTUDIO 10% OFF","","","","High-end"
"26","CRBN","CRBN3X 14mm","229.99","Raw carbon fiber","5.25","Polymer Honeycomb","14","4.25","Elongated","","7.8-8.1oz","112","6.1","","https://bit.ly/3YuEc2w","PBSTUDIO 10% OFF","","","","High-end"
"27","Cheetah","Predion E16","200","Carbon Fiber","5.5","Polymer Honeycomb","16","4","Elongated","1370","7.8oz","110","5.58","","https://bit.ly/3LqiXcZ","","","","","High-end"
"28","Diadem","Warrior Edge","174.95","Raw carbon fiber","5","Polymer Honeycomb","16","4.125","Elongated","1475","8.0oz","120","6.48","https://www.youtube.com/watch?v=mKHZRLDtTZI","https://bit.ly/3OpIlOp","","","","","High-end"
"29","Diadem","Warrior","189.95","Carbon Fiber","5.3","Polymer Honeycomb, kevlar","19","4.125","Elongated","1452","8.5oz","127","","https://www.youtube.com/watch?v=CawNmUGX8vc","https://bit.ly/3EhnAPT","","","","","High-end"
"30","Diadem","Warrior v2","229.95","Raw carbon fiber","5.3","Polymer Honeycomb, kevlar","19","4.125","Elongated","1588","8.25oz","116","","https://www.youtube.com/watch?v=Lecpwc7M6vE&ab_channel=PickleballStudio","https://bit.ly/3HlC8lX","","","","","High-end"
"31","Diadem","Icon v1","159.95","Carbon Fiber","5","Polymer Honeycomb","8","4.25","Standard","1440","7.7-8.0oz","107","5.89","","https://bit.ly/3BGM9It","","","","","High-end"
"32","Diadem","Icon v2","199.99","Carbon Fiber","5.5","Polymer Honeycomb, kevlar","13.7","4.125","Elongated","1851","8.25oz","122","5.72","","https://bit.ly/42UMZMR","","","","","High-end"
"33","diNGK","Carbon Pro Gritx Green","199","Raw carbon fiber","5.3","Polymer Honeycomb","16","4.25","Elongated","1624","7.9-8.3oz","121","","","https://bit.ly/3KLucuC","","","","","High-end"
"34","diNGK","Carbon Pro Grit Blue","199","Raw carbon fiber","5.3","Polymer Honeycomb","16","4.25","Standard","1604","7.9-8.3oz","113","","","https://bit.ly/3BdFxR9","","","","","High-end"
"35","Electrum","Model E 13mm","159.99","Raw carbon fiber","5.25","Polymer Honeycomb","13","4.5","Elongated","1664","7.8-8.2","111","5.87","","http://bit.ly/3tLL3ps","","","","","High-end"
"36","Electrum","Model E 16mm","179.99","Raw carbon fiber","5.25","Polymer Honeycomb","16","4.5","Elongated","1664","8.0-8.5oz","117","6.33","https://youtu.be/pm7mSAKghW4","https://bit.ly/3BoneqS","","PBSTUDIO","","10%","High-end"
"37","Electrum","Model E Elite","199.99","Raw carbon fiber","5.25","Polymer Honeycomb","16","4.5","Elongated","1800","7.9-8.4oz","122","7.04","https://www.youtube.com/watch?v=wKbjae9lkHs","https://bit.ly/42QHPB6","PBSTUDIO","","","","High-end"
"38","Electrum","Pro II","199.99","Raw carbon fiber","5.5","Polymer Honeycomb","11","4.25","Standard","1523","7.9-8.2oz","123","7.25","","https://bit.ly/3z8Qd1a","PBSTUDIO 10% OFF","","","","High-end"
"39","Engage","Pursuit MX","219.99","Graphite","5.75","Polymer Honeycomb","13","4.125","Elongated","","7.6-8.4","122","6.54","","https://bit.ly/3sTrfRo","PBSTUDIO","","","","High-end"
"40","Engage","Pursuit MX 6.0","219.99","Graphite","5.75","Polymer Honeycomb","16","4.25","Elongated","1520","7.6-8.4oz","137","7.85","https://youtu.be/pm7mSAKghW4","https://bit.ly/3sTrfRo","PBSTUDIO","","I’ve found Engage paddles to be highly inconsistent with spin. I’ve had several that the spin numbers varied greatly. One of the only paddles I’ve seen this happen with. Their grit levels don’t seem to be very consistent.","","High-end"
"41","Engage","Pursuit EX 6.0","219.99","Graphite","5","Polymer Honeycomb","16","4.25","Standard","1513","7.6-8.4oz","120","8.2","https://youtu.be/pm7mSAKghW4","https://bit.ly/34pHqN0","PBSTUDIO","","I’ve found Engage paddles to be highly inconsistent with spin. I’ve had several that the spin numbers varied greatly. One of the only paddles I’ve seen this happen with. Their grit levels don’t seem to be very consistent.","","High-end"
"42","Engage","Pursuit Ultra EX 6.0","259.99","Carbon Fiber","5","Polymer Honeycomb","16","4.5","Standard","1331","7.8-8.5oz","114","7.44","https://www.youtube.com/watch?v=z52jrPihlKw&t=15s&ab_channel=PickleballStudio","https://bit.ly/3Oa2ADo","PBSTUDIO","","","","High-end"
"43","Engage","Pursuit Ultra MX","259.99","Carbon Fiber","5.75","Polymer Honeycomb","13","4.25","Elongated","1309","7.8-8.5oz","116","5.92","https://www.youtube.com/watch?v=z52jrPihlKw&t=15s&ab_channel=PickleballStudio","https://bit.ly/431UDo0","PBSTUDIO","PBSTUDIO","","20%","High-end"
"44","Engage","Encore MX 6.0","159.99","Fiberglass","5.75","Polymer Honeycomb","15.24","4.125","Elongated","1166","7.6-8.4oz","","","","https://bit.ly/3czf0nK","PBSTUDIO 20% OFF","","","","High-end"
"209","Engage","Pursuit Pro EX","259.99","Raw carbon fiber","5","Polymer Honeycomb","13","4.25","Standard","","7.5-8.3oz","107","6.64","","https://bit.ly/3RfJop7","PBSTUDIO 20% OFF","","","","High-end"
"210","Engage","Pursuit Pro EX 6.0","259.99","Raw carbon fiber","5","Polymer Honeycomb","16","4.375","Standard","","7.7-8.5oz","114","7.19","","https://bit.ly/4665Nt8","PBSTUDIO 20% OFF","","","","High-end"
"211","Engage","Pursuit Pro MX","259.99","Raw carbon fiber","5.75","Polymer Honeycomb","13","4.25","Elongated","","7.5-8.3oz","121","6.15","","https://bit.ly/48lKRRd","PBSTUDIO 20% OFF","","","","High-end"
"212","Engage","Pursuit Pro MX 6.0","259.99","Raw carbon fiber","5.75","Polymer Honeycomb","16","4.375","Elongated","","7.7-8.4oz","123","6.64","","https://bit.ly/3raJt2T","PBSTUDIO 20% OFF","","","","High-end"
"45","Omega","Evolution Pro","129.99","Fiberglass","5.62","Polymer Honeycomb","16","4.375","Elongated","1530","7.9-8.3oz","130","6.6","","https://bit.ly/3d8D3Kp","PBSTUDIO","","","","High-end"
"46","Omega","Evolution Elite","149.99","Carbon Fiber","5","Polymer Honeycomb","9.5","4.25","Standard","1717","7.8-8.1oz","93","4.86","","https://bit.ly/3vEfAXN","PBSTUDIO","","","","High-end"
"47","Omega","Evolution Max","109.99","Carbon Fiber","5","Polymer Honeycomb","12.7","4.25","Standard","1624","7.8-8.1oz","111","6.46","","https://bit.ly/3vE66vK","PBSTUDIO","","","","Midrange"
"48","Franklin","Franklin Signature 16mm","99.99","Fiberglass","5.6","Polymer Honeycomb","16","4.5","Elongated","1272","7.5-8.3oz","","5.99","","https://bit.ly/3HlC8lX","","","This paddle loses grit very fast because it uses a spray on grit. Be aware that you will see a noticeable decrease in spin performance after it wears off.
","","Midrange"
"49","Franklin","Signature Carbon STK 14.5mm","149.99","Carbon Fiber","5.6","Polymer Honeycomb","14.5","4.375","Elongated","1393","7.6-7.9","113","5.87","https://youtu.be/0oPHJa0T408","https://bit.ly/3HlC8lX","","","This face does NOT have the same raw carbon fiber face that people expect.","","High-end"
"50","Franklin","Signature Carbon STK 17mm","149.99","Carbon Fiber","5.6","Polymer Honeycomb","17","4.25","Elongated","1316","7.9-8.3","120","6.6","https://youtu.be/0oPHJa0T408","https://bit.ly/3HlC8lX","","","This face does NOT have the same raw carbon fiber face that people expect.","","High-end"
"51","Gamma","405","139.99","Graphite","5.25","Polymer Honeycomb","13","4.125","Elongated","1075","7.6oz","111","5.67","https://youtu.be/qFrIEvZ-Vp8","https://bit.ly/3HlC8lX","","","","","High-end"
"52","Gamma","505","179.99","Graphite","5.25","Polymer Honeycomb","16","4.125","Elongated","1200","7.5-7.7oz","119","6.37","https://youtu.be/qFrIEvZ-Vp8","https://bit.ly/3HlC8lX","","","","","High-end"
"53","Gearbox","CX14E","199.99","Carbon Fiber","5.6","Carbon Fiber","14","","Elongated","1512","8.0oz","101","4.29","https://www.youtube.com/watch?v=YFwA0lbFWCY&t=26s","https://bit.ly/3TwrJZe","","","","","High-end"
"54","Gearbox","CX14H","199.99","Carbon Fiber","5.6","Carbon Fiber","14","","Standard","1692","8.0oz","91","5.16","https://www.youtube.com/watch?v=YFwA0lbFWCY&t=26s","https://bit.ly/3e8FbCe","","","","","High-end"
"55","Gearbox","CX14H Ultimate","249.99","Carbon Fiber","5.6","Carbon Fiber","14","","Standard","1863","8.5oz","109","5.75","https://youtu.be/qm3snditb-M","https://bit.ly/3RdIXf9","","","","","High-end"
"56","Gearbox","CX14E Ultimate","249.99","Carbon Fiber","5.6","Carbon Fiber","14","","Elongated","1850","8.5oz","119","5.12","https://youtu.be/qm3snditb-M","https://bit.ly/3Zc6oYm","","","","","High-end"
"57","Gearbox","CX11E Power 7.8oz","199.99","Carbon Fiber","5.6","Carbon Fiber","11","","Elongated","1556","7.8oz","98","4.69","https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio","https://bit.ly/3P5w5D7","","","","","High-end"
"58","Gearbox","CX11E Power 8.5oz","199.99","Carbon Fiber","5.6","Carbon Fiber","11","","Elongated","1512","8.5oz","111","4.96","https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio","https://bit.ly/3RmE2Ft","","","","","High-end"
"59","Gearbox","CX11E Control 8.5oz","199.99","Carbon Fiber","5.6","Carbon Fiber","11","","Elongated","1565","8.5oz","113","4.97","https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio","https://bit.ly/3p3Qaio","","","","","High-end"
"60","Gearbox","CX11E Control 7.8oz","199.99","Carbon Fiber","5.6","Carbon Fiber","11","","Elongated","1584","7.8oz","102","4.65","https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio","https://bit.ly/3ed9Iix","","","","","High-end"
"61","Gearbox","GX6 Control","149.99","Carbon Fiber","5.6","Carbon Fiber","11","","Elongated","1248","7.8oz","","","","https://bit.ly/3tA3BbK","","","","","High-end"
"62","Gearbox","CX11Q Power 7.8oz","199.99","Carbon Fiber","4.75","Carbon Fiber","11","","Standard","1584","7.8oz","91","5.15","https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio","https://bit.ly/3TuRmcF","","","","","High-end"
"63","Gearbox","CX11Q Control 7.8oz","199.99","Carbon Fiber","4.75","Carbon Fiber","11","","Standard","1584","7.8oz","93","5.35","https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio","https://bit.ly/3ed9Iix","","","","","High-end"
"64","Gearbox","CX11Q Control 8.5oz","199.99","Carbon Fiber","4.75","Carbon Fiber","11","","Standard","1488","8.5oz","100","5.5","https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio","https://bit.ly/3KyCfLm","","","","","High-end"
"65","Gearbox","CX11Q Power 8.5oz","199.99","Carbon Fiber","4.75","Carbon Fiber","11","","Standard","1584","8.5oz","99","5.69","https://www.youtube.com/watch?v=hxGbWRccnoM&ab_channel=PickleballStudio","https://bit.ly/3RmE2Ft","","","","","High-end"
"66","Gearbox","GBX","199.99","Carbon Fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","1524","8.5","122","6.33","https://www.youtube.com/watch?v=Du6cr8k1y0o&list=PLd8WdtbnlZd4HAyVxwWGC9CxlK2Kmruyc&index=30","https://bit.ly/3sR6Pef","","","","","High-end"
"67","GRUVN","16E","159","Raw carbon fiber","4.75","Polymer Honeycomb","16","4.375","Elongated","1491","7.9oz","113","6.38","","https://bit.ly/3RkkJww","PBSTUDIO 10% OFF","PBSTUDIO","","10%","High-end"
"68","GRUVN","16H","159","Raw carbon fiber","5.875","Polymer Honeycomb","16","4.5","Elongated","1504","7.9oz","120","5.82","https://youtu.be/ZgFQO9rL14Yv","https://bit.ly/3RgIJAU","PBSTUDIO 10% OFF","","","","High-end"
"69","GRUVN","MUVN 16X","179","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.125","Elongated","1804","7.8-8.2oz","117","6.36","","https://bit.ly/44xv1An","PBSTUDIO 10% OFF","","","","High-end"
"70","Head","Elite","64.95","Fiberglass","5","Polymer Honeycomb","13","4.25","Standard","1298","8.1oz","112","6.6","","https://bit.ly/40EsEZQ","","","","","Cheap"
"71","Head","Radical Tour GR 2022","134.95","Graphite","5","Polymer Honeycomb","15","4.25","Standard","1466","7.9oz","110","6.4","https://youtu.be/wzTgvr_lVOw","https://bit.ly/3tW5zob","","","","","High-end"
"72","Head","Radical Tour Co 2022","149.95","(Composite)","5","Polymer Honeycomb","15","4.25","Standard","1568","8.1oz","108","6.55","https://youtu.be/wzTgvr_lVOw","https://bit.ly/3PQzyFO","","","","","High-end"
"73","Head","Gravity Tour","149.95","Carbon Fiber","5","Polymer Honeycomb","14","4.25","Standard","","","100","6.53","","https://bit.ly/3PuLdgH","","","","","High-end"
"74","Head","Gravity LH 2023","189.95","Hybrid hitting surface","5.75","Polymer Honeycomb","14","","Standard","1889","7.8-8.0oz","105","6.59","","https://bit.ly/3Z5R9iI","","","","","High-end"
"75","Head","Gravity SH 2023","189.95","Hybrid hitting surface","4.25","Polymer Honeycomb","14","4.125","Standard","","7.8oz","104","7","","https://bit.ly/3Rcnjbe","","","","","High-end"
"76","Head","Extreme Tour Max","149.95","Graphite","5","Polymer Honeycomb","11","4.125","Standard","2070","8.0-8.2oz","97","5.62","https://www.youtube.com/watch?v=_3CRMXR0few&t=10s","https://bit.ly/3Z6QYUa","","","","","High-end"
"77","Hudef","Viva Pro 16mm","99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","1772","7.8-8.3oz","120","6.81","https://www.youtube.com/watch?v=wdzO-jzG1dY&ab_channel=PickleballStudio","https://bit.ly/3nPWixX","PBSTUDIO 10% OFF","","","","Midrange"
"78","Hudef","Viva Pro 14mm","99","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.125","Elongated","1776","7.8-8.3oz","117","6.5","https://www.youtube.com/watch?v=wdzO-jzG1dY&ab_channel=PickleballStudio","https://bit.ly/3nPWixX","PBSTUDIO 10% OFF","","","","Midrange"
"79","Hudef","Apex Pro 16mm","89","Raw carbon fiber","4.9","Polymer Honeycomb","16","4.25","Standard","1818","7.8-8.3oz","112","6.92","","https://bit.ly/3KA1qyf","PBSTUDIO 10% OFF","","","","Midrange"
"80","Hudef","Apex Pro 14mm","89","Raw carbon fiber","4.9","Polymer Honeycomb","14","4.125","Standard","1835","7.8-8.3oz","103","6.56","","https://bit.ly/3KA1qyf","PBSTUDIO 10% OFF","","","","Midrange"
"81","Joola","Hyperion CFS 14mm","219.95","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.25","Elongated","1624","8.2oz","113","5.74","https://pickleballstudio.com/blog/joola-hyperion-cfs-14mm-review#:~:text=The%20Hyperion%2016mm%20CFS%20was,as%20much%20to%20get%20power.","https://bit.ly/3sJOWuH","PBSTUDIO 10% OFF","PBSTUDIO","","10%","High-end"
"82","Joola","Solaire 14mm","189.95","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.125","Standard","1420","8.4oz","119","","https://www.youtube.com/watch?v=EZHmCpL_XME&t=8s","https://bit.ly/3MC2e4K","PBSTUDIO 10% OFF","","","","High-end"
"83","Joola","Solaire 14mm Swift","189.95","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.125","Standard","1660","8.0","109","6.53","","https://bit.ly/3sIgIev","PBSTUDIO 10% OFF","","","","High-end"
"84","Joola","Hyperion CFS 14mm Swift","219.95","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.125","Elongated","1632","7.7oz","112","5.82","","bit.ly/3hZ4IQk","PBSTUDIO 10% OFF","","","","High-end"
"85","Joola","Hyperion CFS 16mm","219.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","1584","8.2-8.5oz","127","6.71","https://www.youtube.com/watch?v=D3Hq38AA-M8&t=6s","https://bit.ly/3KxefaN","PBSTUDIO 10% OFF","","After using this paddle for about a month, it did see a big drop off in spin. It started averaging about 1200 RPM. Personally, the drop didn't seem to affect my play much, but going from 1500 to 1200 is a pretty big drop. I dont think this is unique to the Hyperion. It's starting to appear that most paddles with this surface do degrade over time. Something else that may have lead to this is that my Hyperion had a loose edge guard that I had to glue. Mine feels noticeably softer than a brand new one. So perhaps my edge guard is playing a big role in this.","","High-end"
"86","Joola","Hyperion CFS Swift 16mm","219.95","Raw carbon fiber","5.5","Polymer Honeycomb","16","","Elongated","1159","7.9oz","113","6.18","https://youtu.be/zUT-WhvbhzE","https://bit.ly/3Dyiosq","PBSTUDIO 10% OFF","","Unless mine was a dude, I do not recommend this paddle to anyone. Noticeably worse than the regular Hyperion. It’s closer to a Vision.","","High-end"
"87","Joola","Radius","179.95","Raw carbon fiber","5","Polymer Honeycomb","16","4.125","Teardrop","1576","7.6oz","98","","https://youtu.be/D3Hq38AA-M8?si=MWYxLdrQlC1zZJpB","https://bit.ly/3QZt1Ku","PBSTUDIO 10% OFF","","","","High-end"
"88","Joola","Vision 14mm","169.95","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.125","Elongated","1478","7.8oz","109","5.23","","https://bit.ly/3G9DLRO","PBSTUDIO 10% OFF","","","","High-end"
"89","Joola","Vision 16mm","169.95","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.125","Elongated","","7.8oz","113","5.6","","https://bit.ly/3zZDUpD","PBSTUDIO 10% OFF","","","","High-end"
"90","Joola","Hyperion CAS 13.5","159.95","Raw carbon fiber","5.5","Polymer Honeycomb","13.5","4.25","Elongated","1553","8.2oz","117","5.9","","https://bit.ly/3QgKEoc","PBSTUDIO 10% OFF","","","","High-end"
"91","Joola","Hyperion CAS 16","159.95","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","1648","8.3oz","124","6.46","","https://bit.ly/3ddHMdS","PBSTUDIO 10% OFF","","","","High-end"
"92","Joola","Perseus 14mm","249.99","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.125","Elongated","1772","7.8-8.2oz","112","5.72","https://www.youtube.com/watch?v=xY-jBaoPlqU&ab_channel=PickleballStudio","https://bit.ly/3NjF3z0","PBSTUDIO 10% OFF","","","","High-end"
"93","Joola","Perseus 16mm","249.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.25","Elongated","1720","7.8-8.2oz","116","5.87","https://www.youtube.com/watch?v=xY-jBaoPlqU&ab_channel=PickleballStudio","https://bit.ly/3PcXNRU","PBSTUDIO 10% OFF","","","","High-end"
"94","Joola","Scorpeus Collin Johns 16mm","249.99","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.25","Standard","1784","7.8-8.2oz","112","6.83","https://youtu.be/di4D34xNiBI","https://bit.ly/42wi742","PBSTUDIO 10% OFF","","","","High-end"
"95","Joola","Scorpeus Anna Bright 14mm","249.99","Raw carbon fiber","5.5","Polymer Honeycomb","14","4.125","Standard","1780","7.8-8.2oz","111","6.5","https://youtu.be/di4D34xNiBI","https://bit.ly/45TEF1n","PBSTUDIO 10% OFF","","","","High-end"
"96","KitchenPro","Kitchen Pro FG","175","Fiberglass","4.75","Polymer Honeycomb","13","4.25","Standard","1136","7.8-8.5oz","","","","https://bit.ly/3wbP7Bz","","","","","High-end"
"97","KitchenPro","Kitchen Pro CF","195","Carbon Fiber","4.75","Polymer Honeycomb","13","4.125","Standard","1147","7.8-8.5oz","","","","https://bit.ly/3wbP7Bz","","","","","High-end"
"98","Kiwi Labs","Slice","145","Raw carbon fiber","5.5","Polymer Honeycomb","16","4.4","Standard","1435","7.8-8.4oz","116","6.46","","https://bit.ly/3rHdRBP","","","","","High-end"
